Channel 1,Channel 2,Channel 3,Channel 4
-36.86,-31.64,-5.22,-40.826
-37.01,-31.64,-5.36,-41.574
-37.15,-31.64,-5.51,-42.325
-37.29,-31.64,-5.65,-43.08
-37.44,-31.64,-5.8,-43.837
-37.58,-31.64,-5.94,-44.597
-37.73,-31.64,-6.08,-45.36
-37.87,-31.64,-6.23,-46.126
-38.01,-35.16,-2.86,-29.284
-38.16,-35.16,-3,-29.989
-38.3,-35.16,-3.15,-30.698
-38.45,-35.16,-3.29,-31.409
-38.59,-35.16,-3.43,-32.124
-38.73,-35.16,-3.58,-32.841
-38.88,-35.16,-3.72,-33.561
-39.02,-35.16,-3.87,-34.284
-39.17,-35.16,-4.01,-35.01
-39.31,-35.16,-4.15,-35.739
-39.45,-35.16,-4.3,-36.471
-39.6,-35.16,-4.44,-37.205
-39.74,-35.16,-4.59,-37.943
-39.89,-35.16,-4.73,-38.683
-40.03,-35.16,-4.87,-39.426
-40.17,-35.16,-5.02,-40.172
-40.32,-35.16,-5.16,-40.921
-40.46,-35.16,-5.3,-41.672
-40.61,-35.16,-5.45,-42.427
-40.75,-35.16,-5.59,-43.184
-40.89,-35.16,-5.74,-43.944
-41.04,-35.16,-5.88,-44.707
-41.18,-35.16,-6.02,-45.472
-41.33,-35.16,-6.17,-46.24
-41.47,-35.16,-6.31,-47.011
-41.61,-38.67,-2.94,-30.174
-41.76,-38.67,-3.09,-30.884
-41.9,-38.67,-3.23,-31.597
-42.05,-38.67,-3.37,-32.313
-42.19,-38.67,-3.52,-33.032
-42.33,-35.16,-7.18,-51.364
-42.48,-38.67,-3.81,-34.543
-42.62,-38.67,-3.95,-35.27
-42.77,-38.67,-4.09,-35.999
-42.91,-38.67,-4.24,-36.731
-43.05,-38.67,-4.38,-37.466
-43.2,-38.67,-4.53,-38.203
-43.34,-38.67,-4.67,-38.943
-43.49,-38.67,-4.81,-39.686
-43.63,-38.67,-4.96,-40.431
-43.77,-38.67,-5.1,-41.179
-43.92,-38.67,-5.25,-41.929
-44.06,-38.67,-5.39,-42.683
-44.2,-38.67,-5.53,-43.438
-44.35,-38.67,-5.68,-44.197
-44.49,-38.67,-5.82,-44.958
-44.64,-42.19,-2.45,-28.11
-44.78,-38.67,-6.11,-46.421
-44.92,-42.19,-2.74,-29.579
-45.07,-42.19,-2.88,-30.284
-45.21,-42.19,-3.03,-30.992
-45.36,-42.19,-3.17,-31.702
-45.5,-42.19,-3.31,-32.415
-45.64,-42.19,-3.46,-33.131
-45.79,-42.19,-3.6,-33.849
-45.93,-42.19,-3.75,-34.569
-46.08,-42.19,-3.89,-35.292
-46.22,-42.19,-4.03,-36.018
-46.36,-42.19,-4.18,-36.746
-46.51,-42.19,-4.32,-37.477
-46.65,-42.19,-4.47,-38.21
-46.8,-42.19,-4.61,-38.946
-46.94,-42.19,-4.75,-39.685
-47.08,-42.19,-4.9,-40.426
-47.23,-42.19,-5.04,-41.169
-47.37,-42.19,-5.19,-41.915
-47.52,-42.19,-5.33,-42.663
-47.66,-42.19,-5.47,-43.414
-47.8,-42.19,-5.62,-44.168
-47.95,-42.19,-5.76,-44.924
-48.09,-42.19,-5.91,-45.682
-48.24,-42.19,-6.05,-46.443
-48.38,-42.19,-6.19,-47.207
-48.52,-45.7,-2.82,-30.362
-48.67,-42.19,-6.48,-48.675
-48.81,-45.7,-3.11,-31.835
-48.96,-45.7,-3.25,-32.542
-49.1,-45.7,-3.4,-33.252
-49.24,-45.7,-3.54,-33.964
-49.39,-45.7,-3.69,-34.679
-49.53,-45.7,-3.83,-35.396
-49.68,-45.7,-3.97,-36.116
-49.82,-45.7,-4.12,-36.838
-49.96,-45.7,-4.26,-37.563
-50.11,-45.7,-4.41,-38.29
-50.25,-45.7,-4.55,-39.02
-50.4,-49.22,-1.18,-22.141
-50.54,-45.7,-4.84,-40.421
-50.68,-45.7,-4.98,-41.158
-50.83,-45.7,-5.13,-41.897
-50.97,-45.7,-5.27,-42.64
-51.12,-45.7,-5.41,-43.384
-51.26,-49.22,-2.04,-26.52
-51.4,-45.7,-5.7,-44.815
-51.55,-45.7,-5.85,-45.567
-51.69,-45.7,-5.99,-46.322
-51.84,-49.22,-2.62,-29.468
-51.98,-45.7,-6.28,-47.772
-52.12,-45.7,-6.42,-48.534
-52.27,-49.22,-3.05,-31.688
-52.41,-49.22,-3.19,-32.389
-52.56,-49.22,-3.34,-33.093
-52.7,-49.22,-3.48,-33.799
-52.84,-49.22,-3.63,-34.507
-52.99,-49.22,-3.77,-35.218
-53.13,-49.22,-3.91,-35.932
-53.28,-49.22,-4.06,-36.648
-53.42,-49.22,-4.2,-37.367
-53.56,-49.22,-4.35,-38.088
-53.71,-49.22,-4.49,-38.812
-53.85,-49.22,-4.63,-39.539
-54,-49.22,-4.78,-40.268
-54.14,-49.22,-4.92,-40.999
-54.28,-49.22,-5.07,-41.733
-54.43,-49.22,-5.21,-42.47
-54.57,-49.22,-5.35,-43.209
-54.72,-49.22,-5.5,-43.951
-54.86,-49.22,-5.64,-44.695
-55,-49.22,-5.79,-45.442
-55.15,-49.22,-5.93,-46.191
