Channel 1,Channel 2,Channel 3,Channel 4
-6.26,-6.86,0.6,28.068
-5.7,-6.86,1.16,35.027
-5.14,-6.86,1.72,42.504
-4.58,-6.86,2.29,50.5
-4.01,-6.86,2.85,59.013
-3.45,-6.86,3.41,68.043
-2.89,-6.86,3.98,76.656
-2.32,-3.43,1.11,46.972
-1.76,-3.43,1.67,54.752
-1.19,-3.43,2.24,62.737
-0.63,-3.43,2.8,71.235
-0.06,0,-0.06,40.498
0.5,0,0.5,47.224
1.07,0,1.07,54.149
1.63,0,1.63,61.585
2.2,0,2.2,67.664
2.76,3.43,-0.67,35.747
3.33,3.43,-0.11,41.596
3.89,6.86,-2.97,9.759
4.45,6.86,-2.41,14.44
5.01,6.86,-1.85,18.689
5.57,6.86,-1.29,23.439
6.14,6.86,-0.73,28.688
6.69,6.86,-0.17,33.812
7.25,6.86,0.39,39.742
7.81,10.29,-2.48,5.795
8.37,10.29,-1.93,9.909
8.92,10.29,-1.37,14.513
9.47,10.29,-0.82,19.603
10.03,10.29,-0.27,25.176
10.58,10.29,0.28,30.921
11.12,13.72,-2.6,-0.424
11.67,13.72,-2.05,4.101
12.22,13.72,-1.51,8.478
12.76,13.72,-0.97,13.327
13.3,13.72,-0.42,18.956
13.84,13.72,0.11,24.741
14.38,13.72,0.65,30.989
14.91,13.72,1.19,37.696
15.44,13.72,1.72,44.862
15.97,13.72,2.25,52.172
16.5,13.72,2.77,60.243
17.02,13.72,3.3,67.519
17.54,17.16,0.39,36.736
18.06,17.16,0.91,43.032
18.58,17.16,1.42,49.765
19.09,17.16,1.94,56.934
19.6,17.16,2.45,64.221
20.11,20.59,-0.48,31.878
20.61,20.59,0.03,37.217
21.12,20.59,0.53,42.976
21.61,20.59,1.03,49.151
22.11,24.02,-1.91,16.301
22.6,24.02,-1.42,20.497
23.08,24.02,-0.93,24.785
23.57,24.02,-0.45,29.473
24.05,24.02,0.03,34.556
24.52,24.02,0.51,39.098
25,27.45,-2.45,5.834
25.46,27.45,-1.99,9.28
25.93,27.45,-1.52,12.792
26.39,27.45,-1.06,16.679
26.84,27.45,-0.61,20.934
27.29,27.45,-0.15,25.553
27.74,27.45,0.29,30.223
28.18,27.45,0.74,35.557
28.62,30.88,-2.26,1.185
29.06,30.88,-1.82,4.417
29.49,30.88,-1.39,7.989
29.91,30.88,-0.97,11.898
30.33,30.88,-0.55,15.826
30.75,27.45,3.3,57.963
31.16,30.88,0.28,24.967
31.56,30.88,0.68,29.857
31.96,30.88,1.08,35.059
32.36,30.88,1.48,40.565
32.75,30.88,1.87,46.37
33.13,30.88,2.25,52.472
33.51,34.31,-0.8,20.669
33.89,34.31,-0.42,24.234
34.26,34.31,-0.06,28.387
34.62,34.31,0.31,32.501
34.98,34.31,0.67,36.884
35.33,34.31,1.02,41.528
35.68,34.31,1.37,45.807
36.02,37.74,-1.72,12.453
36.36,37.74,-1.39,15.671
36.69,37.74,-1.06,18.506
37.01,37.74,-0.73,21.263
37.33,37.74,-0.41,24.247
37.64,41.17,-3.53,-10.429
37.95,37.74,0.21,30.562
38.25,37.74,0.51,34.192
38.54,41.17,-2.63,-1.721
38.83,41.17,-2.34,-0.178
39.11,37.74,1.37,38.816
39.39,41.17,-1.78,2.544
39.66,41.17,-1.51,4.022
39.92,41.17,-1.25,5.673
40.18,41.17,-0.99,7.49
40.43,41.17,-0.74,9.469
40.68,41.17,-0.49,11.602
40.92,41.17,-0.26,13.885
41.15,41.17,-0.02,16.309
41.37,41.17,0.2,18.868
41.59,41.17,0.42,21.869
41.81,41.17,0.63,24.682
42.01,41.17,0.84,27.613
42.21,41.17,1.04,30.654
42.4,41.17,1.23,33.799
42.59,41.17,1.42,36.731
42.77,41.17,1.6,40.066
42.94,41.17,1.77,43.487
43.11,41.17,1.93,46.985
43.27,44.6,-1.34,11.742
43.42,44.6,-1.19,13.202
43.56,44.6,-1.04,13.789
43.7,44.6,-0.9,14.428
43.83,44.6,-0.77,15.114
43.96,44.6,-0.65,15.839
44.07,44.6,-0.53,16.599
44.18,44.6,-0.42,17.384
44.29,44.6,-0.32,18.191
44.38,44.6,-0.22,19.011
44.47,44.6,-0.13,19.839
44.56,44.6,-0.05,20.357
44.63,48.04,-3.4,-16.702
44.7,44.6,0.1,21.68
44.76,48.04,-3.27,-17.275
44.82,44.6,0.21,18.574
44.86,48.04,-3.17,-21.37
44.9,48.04,-3.13,-23.472
44.94,48.04,-3.1,-25.307
44.96,48.04,-3.07,-27.815
44.98,48.04,-3.05,-30.07
45,48.04,-3.04,-32.078
45,44.6,0.4,3.103
45,48.04,-3.04,-37.245
44.99,48.04,-3.05,-39.484
44.97,48.04,-3.06,-42.124
44.95,48.04,-3.09,-45.171
44.92,44.6,0.31,-7.64
44.88,44.6,0.28,-7.789
44.83,44.6,0.23,-8.052
44.78,44.6,0.18,-8.438
44.72,44.6,0.12,-8.64
44.66,44.6,0.05,-9.287
44.59,44.6,-0.02,-10.075
44.51,44.6,-0.1,-10.698
44.42,44.6,-0.19,-11.475
44.32,44.6,-0.28,-12.721
44.22,44.6,-0.38,-13.511
44.11,44.6,-0.49,-14.473
44,44.6,-0.6,-15.3
43.88,44.6,-0.73,-16.934
43.75,41.17,2.58,20.057
43.61,44.6,-0.99,-18.911
43.47,44.6,-1.13,-20.821
43.32,44.6,-1.28,-23.561
43.16,44.6,-1.44,-25.893
43,41.17,1.83,8.816
42.83,41.17,1.66,6.971
42.65,41.17,1.48,4.585
42.47,41.17,1.3,2.273
42.28,41.17,1.11,1.272
42.08,41.17,0.91,0.023
41.88,41.17,0.71,-1.792
41.67,41.17,0.5,-3.556
41.45,41.17,0.28,-5.896
41.23,41.17,0.06,-8.507
41,41.17,-0.17,-11.395
40.76,41.17,-0.41,-14.254
40.52,41.17,-0.65,-17.713
40.27,41.17,-0.9,-21.153
40.02,44.6,-4.59,-62.773
39.76,41.17,-1.42,-29.244
39.49,41.17,-1.68,-33.906
39.21,41.17,-1.96,-38.572
38.93,41.17,-2.24,-43.556
38.65,41.17,-2.53,-48.555
38.36,41.17,-2.82,-54.193
38.06,41.17,-3.12,-60.166
37.75,37.74,0.01,-26.11
37.44,37.74,-0.3,-29.657
37.12,37.74,-0.62,-33.553
36.8,37.74,-0.94,-37.803
36.47,37.74,-1.27,-42.1
36.14,34.31,1.83,-7.325
35.8,34.31,1.49,-9.554
35.46,34.31,1.14,-12.156
35.1,34.31,0.79,-15.136
34.75,34.31,0.44,-18.496
34.39,34.31,0.08,-22.242
34.02,34.31,-0.29,-25.134
33.65,30.88,2.77,10.394
33.27,30.88,2.39,8.575
32.89,30.88,2.01,6.354
32.5,30.88,1.62,3.725
32.1,30.88,1.22,0.687
31.71,30.88,0.83,-2.766
31.3,30.88,0.42,-6.639
30.89,30.88,0.01,-10.932
30.48,30.88,-0.4,-15.653
30.06,30.88,-0.82,-20.803
29.64,30.88,-1.24,-26.385
29.21,30.88,-1.67,-32.406
28.78,30.88,-2.1,-38.866
28.34,30.88,-2.54,-45.77
27.9,27.45,0.45,-15.241
27.46,30.88,-3.42,-60.612
27.01,30.88,-3.87,-68.557
26.55,27.45,-0.9,-36.899
